lbp3,lbp4,lbp5,lbp6,lbp7,lbp8,lbp9,lbp10,lbp11,lbp12,lbp13,lbp14,Class
12050,6029,9527,3505,9079,3968,7324,6163,7649,9422,9355,14452,1
12357,6140,9589,3494,9022,3774,6987,5880,7335,9188,8667,13403,1
12402,6016,9855,3474,9362,3817,7057,5815,7294,8750,8890,13385,1
11374,5524,9648,3078,9467,3606,7740,6128,7953,10059,10323,15626,1
12119,5967,9556,3321,9431,3743,7465,5949,7510,9122,8400,13756,1
11544,5296,9132,2907,9196,3490,7630,5768,7737,9734,9619,14496,1
12698,5822,9199,3290,8333,3522,6514,5470,6731,8722,9007,13339,1
11264,5083,9195,2818,9548,3251,7745,5703,7988,10256,10503,16566,1
11617,5084,9237,2390,8992,2706,6963,5113,6876,8575,8767,13976,1
12232,5563,8840,2964,8363,3149,6601,5201,6912,8566,8631,12821,1
12453,5662,9157,2819,8314,3230,6507,5218,6661,8585,8475,12488,1
11769,5781,9466,3369,9395,3802,7682,6106,7921,10036,9878,15109,1
13038,6077,9052,3204,8405,3705,6545,5391,6662,8136,7510,11767,1
12331,5686,9334,2934,8956,3226,6679,5238,6759,8490,8405,12521,1
12407,5810,9308,3186,8770,3482,6799,5581,7050,8418,8498,12648,1
13247,6061,9217,3266,7920,3352,5972,4839,5999,7795,7658,11199,1
12849,6063,9193,3318,8143,3594,6468,5451,6720,7974,7816,11728,1
12001,5663,9686,3153,9225,3483,7370,5719,7374,8450,8144,13044,1
12790,5876,8970,3128,7993,3316,6230,5078,6347,7773,7659,11447,1
12516,6217,9235,3582,8790,3910,7069,5971,7333,8837,8473,13027,1
11256,5032,9336,2785,9476,3172,7789,5764,7953,10136,10055,16375,1
11266,5336,9318,3013,9714,3447,7958,6156,8097,9855,9788,15921,1
11134,5369,9256,2895,9538,3180,7721,5848,7961,10256,10392,17131,1
12001,5594,9395,3086,8964,3463,7083,5562,7532,9585,9864,15080,1
12452,6185,9722,3807,9064,4212,7365,6403,7994,9698,9446,13985,1
11819,6019,9721,3577,9538,4033,7854,6337,8102,10066,9662,14672,1
11332,5511,9453,3325,9902,3897,8304,6762,8590,11058,10287,16734,1
12288,6276,9523,3559,8753,3913,6966,5875,7170,8614,8330,12673,1
12259,5669,9257,2948,8673,3120,6632,5059,6538,8106,7727,12365,1
12810,5931,9198,3131,8123,3329,6035,4763,6138,7724,7975,11568,1
12310,5521,9300,2807,8829,3258,6965,5335,7008,8475,8263,12810,1
12396,5509,9150,3033,8539,3312,6597,5343,7165,8950,8993,13287,1
12666,6291,9777,3786,8769,4131,7094,6298,7494,9484,9358,13622,1
11942,6004,9555,3511,9329,3995,7312,6237,7910,10175,10401,15058,1
12236,5942,9697,3519,9678,3983,7645,6314,7778,9811,9017,14195,1
12163,5945,9674,3548,9732,4155,7852,6499,8169,10118,9824,15040,1
11898,6117,9598,3626,9213,4147,7753,6816,8495,10386,9936,15057,1
11163,5755,9661,3610,10007,4434,8582,7272,9394,11626,11242,17248,1
12176,6103,9645,3622,8832,4041,7155,6265,7714,9745,9772,13949,1
12282,6068,9397,3557,8778,4084,7400,6255,7838,9926,9748,14227,1
12475,6145,9592,3475,8714,3735,6900,5777,7278,9097,9471,13754,1
11868,5613,9831,3146,9755,3708,7932,6143,7832,9452,8697,14578,1
11466,5367,9672,3086,9683,3635,7779,6376,8322,10463,10036,16917,1
9345,4119,8650,2203,10559,3210,9290,7093,10470,13340,14940,23404,1
12125,5913,9476,3470,9190,3999,7461,6393,8214,10226,9951,15262,1
11688,5529,9772,3159,9693,3630,7783,6043,7905,10028,10559,15983,1
12122,5897,9771,3347,9229,4131,7584,6320,7926,9912,9921,14436,1
12591,6413,9653,4036,8707,4286,7215,6200,7523,9552,9443,13700,1
12509,6148,9661,3561,9370,3847,7450,5779,7330,8932,8556,13555,1
12643,6302,9514,3736,8649,4041,7154,5847,7077,8915,8641,12788,1
12242,6052,9439,3306,8902,3683,7232,5794,7547,9235,9023,14190,1
12702,6076,9697,3561,9045,3834,6953,5710,7341,8815,9329,13358,1
12065,5876,9633,3729,9043,4023,7459,6219,7700,9729,9369,14290,1
12376,6061,9435,3437,8819,3842,7213,6137,7447,9441,8961,14184,1
12382,6144,9353,3658,8906,4064,7226,6164,7466,9584,9554,14311,1
12900,6384,9277,3638,8510,3910,6742,5914,7117,8780,8774,13081,1
12849,6457,9416,3648,8660,3836,6892,5712,7150,8755,8559,12834,1
11725,5620,9706,3259,9791,3725,7942,6254,7996,10021,9531,15316,1
12434,6320,9348,3843,8694,4119,7013,6200,7592,9252,9308,13074,1
12671,6419,9568,3866,8466,4072,6710,5888,7023,9021,8656,12782,1
12115,6049,9976,3887,9589,4425,7765,6642,8259,9645,9450,13978,1
12086,6128,9770,3697,9368,4166,7574,6449,8091,10212,9837,14413,1
12036,6070,9686,3491,9325,3893,7470,6240,7773,9736,9453,14453,1
12690,6244,9505,3580,8676,3918,7078,5995,7235,8821,8754,12953,1
11490,5403,9667,3111,9671,3813,8074,6495,8733,10562,10590,16171,1
11933,5778,9813,3411,9902,3997,8024,6592,8429,9968,9674,15086,1
12213,5961,9715,3416,9085,3790,7315,6082,7591,9618,9289,14103,1
12669,6423,9539,3603,8424,4023,6795,5907,7025,8995,8899,12938,1
12440,6025,9536,3653,9047,4242,7372,6340,7781,9390,8961,13328,1
12153,5878,9580,3534,9155,3818,7359,5958,7529,9813,10156,14815,1
12191,6207,9639,3850,9199,4415,7700,6660,8389,10350,10237,14634,1
12775,6308,9366,3711,8498,4003,6913,6034,7472,9587,9564,13175,1
12417,6302,9582,3661,8782,4202,6973,5952,7238,8956,8698,12963,1
13098,6467,9526,3960,8429,4174,6845,6119,7211,8889,8470,12676,1
12734,6335,9597,3635,8441,4032,6907,5805,7221,9079,8824,13052,1
11960,5857,9325,3565,8882,3921,7226,6200,8106,10080,9936,15036,1
12039,5887,9535,3400,9045,3583,7227,5778,7350,9251,9154,14059,1
12115,5960,9686,3565,9392,3912,7638,6020,7879,9262,9303,13906,1
12639,6333,9495,3630,8584,3925,6868,5834,7250,8827,8700,12989,1
12115,6114,10008,3553,9597,4168,7780,6357,7818,9579,9089,14153,1
12625,6538,9725,3815,8352,4111,6849,6209,7630,9235,9269,13148,1
13042,6564,9423,3801,8380,4084,6781,5945,7048,8887,8640,12157,1
12940,6440,9627,3771,8570,4043,6847,5795,7059,8674,8483,12185,1
12798,6494,9751,3835,8934,4204,7125,5966,7178,8804,8228,12320,1
12665,6241,9557,3486,8523,3900,6588,5678,6722,8400,8332,12360,1
12833,6068,9392,3510,8818,3793,7010,5951,7276,8830,8868,12804,1
9508,3861,8646,1812,10000,2747,8739,5973,9427,12295,14977,22514,1
12453,6115,9545,3479,8879,3782,6803,5830,7388,9179,9054,13326,1
12908,6712,9476,3954,8778,4329,6916,5938,6908,8509,8040,12021,1
12379,6058,9467,3518,8926,3775,7075,5911,7243,9252,9314,13969,1
12018,5689,9418,3209,9510,3498,7384,5799,7592,9627,9295,14278,1
12417,5748,9239,3064,8264,3425,6320,5280,6770,8637,8581,13221,1
12143,5599,9380,3153,8876,3598,6912,5635,7275,9383,9162,14041,1
12740,5748,9458,3278,8182,3469,6485,5343,6863,8721,8759,12779,1
12599,5881,9284,3299,8305,3662,6643,5651,7104,8734,8456,13013,1
11200,5019,9223,2509,9504,2900,7479,5408,7332,9604,9447,16040,1
12342,5476,9482,2905,8821,3383,6732,5204,6907,8469,8978,13034,1
12384,5995,9518,3250,9019,3645,7187,5851,7444,9692,9442,15167,1
12242,5578,9247,3064,8331,3326,6714,5440,7009,8854,8864,13138,1
12334,5640,9259,3153,8466,3567,6708,5546,7203,9145,9231,13490,1
12381,5803,9450,2984,8469,3151,6593,5147,6709,8542,8797,13361,1
11711,5309,9039,2826,9056,3177,7335,5303,7208,8764,7849,13529,1
12119,5336,9205,2728,8617,2956,6558,4904,6366,8200,7816,12660,1
12269,5715,9425,3013,8574,3325,6522,5121,6818,8567,8769,13256,1
12178,5566,9146,2924,8828,3374,6966,5382,7040,8848,8659,13413,1
12029,5762,9326,3204,8555,3624,6948,5799,7527,9541,9959,14195,1
12017,5625,9485,3256,8926,3870,7187,6162,7754,9940,9558,14474,1
12630,5738,9294,3088,8358,3269,6509,5370,6812,8573,8881,13168,1
11836,5603,9291,3237,9227,3656,7514,6044,7845,10568,10586,16060,1
11949,5503,9201,3176,9041,3568,7331,6131,7913,10085,9833,14932,1
12571,5723,9286,2889,8379,3186,6294,5193,6479,8152,7826,12279,1
12708,6266,9260,3391,8244,3626,6550,5404,6806,8372,8321,12514,1
12902,6384,9400,3646,8508,3990,6872,5750,6881,8577,8093,11831,1
12541,5804,9180,3128,8294,3325,6347,5111,6646,8350,8320,12405,1
12075,5579,9391,3084,9010,3481,7189,5778,7177,9277,9102,14570,1
12277,5828,9664,3331,9121,3768,7464,6168,7899,9663,9453,14284,1
12148,5679,9249,3265,9150,3609,7358,5919,7535,9211,8778,13443,1
